category,english,finnish,danish,norwegian,swedish
Mobile subscriptions & services,"Mobile subscriptions & services: mobile phone subscriptions, plans, prepaid, roaming, MMS, SMS, VoLTE, VoWiFi, mobile services","Matkapuhelinliittymät ja -palvelut: matkapuhelinliittymät, liittymäpaketit, prepaid-liittymät, verkkovierailu, MMS, SMS, VoLTE, VoWiFi, matkapuhelinpalvelut","Mobilabonnementer og tjenester: mobilabonnementer, pakker, taletidskort, roaming, MMS, SMS, VoLTE, VoWiFi, mobiltjenester","Mobilabonnement og tjenester: mobilabonnement, pakker, kontantkort, roaming, MMS, SMS, VoLTE, VoWiFi, mobiltjenester","Mobilabonnemang och tjänster: mobilabonnemang, paket, kontantkort, roaming, MMS, SMS, VoLTE, VoWiFi, mobiltjänster"
Broadband & fixed internet,"Broadband & fixed internet: broadband, fiber, DSL, fixed internet connection, internet speed, home internet","Laajakaista ja kiinteä internet: laajakaista, valokuitu, DSL, kiinteä internetyhteys, internetnopeus, kotinetti","Bredbånd og fast internet: bredbånd, fiber, DSL, fast internetforbindelse, internethastighed, hjemmeinternet","Bredbånd og fast internett: bredbånd, fiber, DSL, fast internettforbindelse, internetthastighet, hjemmeinternett","Bredband och fast internet: bredband, fiber, DSL, fast internetanslutning, internethastighet, hemmainternet"
"Routers, modems & network hardware","Routers, modems & network hardware: router setup, modem configuration, WiFi settings, network equipment, dongles, repeaters","Reitittimet, modeemit ja verkkolaitteet: reitittimen asennus, modeemin konfigurointi, WiFi-asetukset, verkkolaitteet, USB-adapterit, toistimet","Routere, modems og netværkshardware: router opsætning, modem konfiguration, WiFi indstillinger, netværksudstyr, dongle, repeater","Rutere, modemer og nettverksutstyr: ruter oppsett, modem konfigurasjon, WiFi innstillinger, nettverksutstyr, dongel, forsterker","Routrar, modem och nätverkshårdvara: routerinstallation, modemkonfiguration, WiFi-inställningar, nätverksutrustning, donglar, repeaters"
TV & streaming,"TV & streaming: television services, streaming, TV boxes, channels, remote control, set-top box","TV ja suoratoisto: televisiopalvelut, suoratoisto, TV-mediatoistin, kanavat, kaukosäädin, digiboksi","TV og streaming: tv-tjenester, streaming, tv-bokse, kanaler, fjernbetjening, set-top boks","TV og streaming: tv-tjenester, streaming, tv-bokser, kanaler, fjernkontroll, set-top boks","TV och streaming: tv-tjänster, streaming, tv-boxar, kanaler, fjärrkontroll, set-top box"
Billing & payment,"Billing & payment: invoice, billing, payment, pricing, charges, fees, credit, subscription cost","Laskutus ja maksut: lasku, laskutus, maksu, hinnoittelu, maksut, palkkiot, hyvitys, tilausmaksu","Fakturering og betaling: faktura, fakturering, betaling, priser, afgifter, gebyrer, kredit, abonnementspris","Fakturering og betaling: faktura, fakturering, betaling, priser, avgifter, gebyrer, kreditt, abonnementspris","Fakturering och betalning: faktura, fakturering, betalning, priser, avgifter, gebyr, kredit, abonnemangskostnad"
Account & login,"Account & login: my account, login, password, profile, app, self-service portal","Tili ja kirjautuminen: oma tili, kirjautuminen, salasana, profiili, sovellus, itsepalveluportaali","Konto og login: min konto, login, adgangskode, profil, app, selvbetjeningsportal","Konto og log inn: min konto, logg inn, passord, profil, app, selvbetjeningsportal","Konto och login: mitt konto, login, lösenord, profil, app, självbetjäningsportal"
SIM & eSIM,"SIM & eSIM: SIM card, eSIM, activation, SIM swap, PIN, PUK","SIM-kortti ja eSIM: SIM-kortti, eSIM, aktivointi, SIM-kortin vaihtaminen, PIN-koodi, PUK-koodi","SIM og eSIM: SIM-kort, eSIM, aktivering, SIM-kort skift, PIN, PUK","SIM og eSIM: SIM-kort, eSIM, aktivering, bytte av SIM-kort, PIN, PUK","SIM och eSIM: SIM-kort, eSIM, aktivering, SIM-kortsbyte, PIN, PUK"
Mobile devices,"Mobile devices: smartphones, tablets, smartwatches, phone setup, device troubleshooting, screen, insurance","Mobiililaitteet: älypuhelimet, tabletit, älykellot, puhelimen käyttöönotto, laitteiden vianmääritys, näyttö, vakuutus","Mobile enheder: smartphones, tablets, smartwatches, telefonopsætning, enhedsfejlfinding, skærm, forsikring","Mobile enheter: smarttelefon, nettbrett, smartklokke, telefonoppsett, enhetsfeilsøking, skjerm, forsikring","Mobila enheter: smartphones, tablets, smartwatches, telefoninställning, enhetsfelsökning, skärm, försäkring"
Network & coverage,"Network & coverage: network coverage, outages, 4G, 5G, signal strength, connectivity problems","Verkko ja kattavuus: verkon kattavuus, häiriöt, 4G, 5G, signaalin voimakkuus, yhteysongelmat","Netværk og dækning: netværksdækning, driftsforstyrrelser, 4G, 5G, signalstyrke, forbindelsesproblemer","Nettverk og dekning: nettverksdekning, driftsforstyrrelser, 4G, 5G, signalstyrke, tilkoblingsproblemer","Nätverk och täckning: nätverkstäckning, driftstörningar, 4G, 5G, signalstyrka, anslutningsproblem"
Other,"Other: general customer service information, terms and conditions, contact information, moving, address change, security","Muu: yleistä asiakaspalvelutietoa, käyttöehdot, yhteystiedot, muutto, osoitteenmuutos, tietoturva","Andet: generel kundeserviceinformation, vilkår og betingelser, kontaktinformation, flytning, adresseændring, sikkerhed","Annet: generell kundeserviceinformasjon, vilkår og betingelser, kontaktinformasjon, flytting, adresseendring, sikkerhet","Övrigt: allmän kundtjänstinformation, villkor, kontaktinformation, flytt, adressändring, säkerhet"
