domain,language,iso,file,chars,spacy_trained_tokens,spacy_trained_words,spacy_blank_tokens,spacy_blank_words
www.dna.fi,Finnish,fi,-WiFi.html.json,4951,706.0,596.0,706.0,596.0
www.dna.fi,Finnish,fi,-alykellot_apple-watch.html.json,5018,694.0,583.0,694.0,583.0
www.dna.fi,Finnish,fi,-alykellot_samsung-galaxy-watch.html.json,4981,688.0,576.0,688.0,576.0
www.dna.fi,Finnish,fi,-modeemit.html.json,4184,542.0,471.0,542.0,471.0
www.dna.fi,Finnish,fi,-mokkulat.html.json,1374,184.0,156.0,184.0,156.0
www.dna.fi,Finnish,fi,-nettiostaminen_tilaaminen.html.json,4025,520.0,443.0,520.0,443.0
www.dna.fi,Finnish,fi,-puhelinliittymat_esim.html.json,2837,411.0,343.0,411.0,343.0
www.dna.fi,Finnish,fi,asiakkuus.html.json,3664,464.0,445.0,464.0,445.0
www.dna.fi,Finnish,fi,asiakkuus_kirjautuminen.html.json,2881,355.0,311.0,355.0,311.0
www.dna.fi,Finnish,fi,asiakkuus_laskutus.html.json,5497,728.0,619.0,728.0,619.0
www.dna.fi,Finnish,fi,asiakkuus_laskutus_e-lasku.html.json,1244,164.0,130.0,164.0,130.0
www.dna.fi,Finnish,fi,asiakkuus_nettiostaminen.html.json,1593,228.0,191.0,228.0,191.0
www.dna.fi,Finnish,fi,asiakkuus_nettiostaminen_click-collect.html.json,4175,622.0,519.0,622.0,519.0
www.dna.fi,Finnish,fi,asiakkuus_nettiostaminen_maksutavat.html.json,3394,405.0,353.0,405.0,353.0
www.dna.fi,Finnish,fi,asiakkuus_nettiostaminen_palautus-ja-takuu.html.json,4548,594.0,514.0,594.0,514.0
www.dna.fi,Finnish,fi,asiakkuus_nettiostaminen_tilaaminen.html.json,4025,520.0,443.0,520.0,443.0
www.dna.fi,Finnish,fi,asiakkuus_nettiostaminen_toimitus.html.json,4516,583.0,496.0,583.0,496.0
www.dna.fi,Finnish,fi,asiakkuus_oma-dna-sovellus.html.json,772,95.0,86.0,95.0,86.0
www.dna.fi,Finnish,fi,asiakkuus_valtakirjat.html.json,5823,787.0,664.0,787.0,664.0
www.dna.fi,Finnish,fi,dnatv_suoratoistopalvelut_cmore.html.json,4520,578.0,515.0,578.0,515.0
www.dna.fi,Finnish,fi,dnatv_suoratoistopalvelut_viihdekirjasto.html.json,614,86.0,73.0,86.0,73.0
www.dna.fi,Finnish,fi,index.html.json,865,104.0,102.0,104.0,102.0
www.dna.fi,Finnish,fi,kuuluvuus-ja-verkot_3g.html.json,4411,602.0,514.0,602.0,514.0
www.dna.fi,Finnish,fi,kuuluvuus-ja-verkot_4g-verkko.html.json,5137,712.0,613.0,712.0,613.0
www.dna.fi,Finnish,fi,kuuluvuus-ja-verkot_5g-verkko.html.json,2533,351.0,309.0,351.0,309.0
www.dna.fi,Finnish,fi,laitteet.html.json,1173,149.0,138.0,149.0,138.0
www.dna.fi,Finnish,fi,laitteet_alykellot.html.json,1457,156.0,133.0,156.0,133.0
www.dna.fi,Finnish,fi,laitteet_alykellot_apple-watch.html.json,5018,694.0,583.0,694.0,583.0
www.dna.fi,Finnish,fi,laitteet_alykellot_huawei-watch.html.json,1150,166.0,136.0,166.0,136.0
www.dna.fi,Finnish,fi,laitteet_alykellot_samsung-galaxy-watch.html.json,4981,688.0,576.0,688.0,576.0
www.dna.fi,Finnish,fi,laitteet_modeemit.html.json,4184,542.0,471.0,542.0,471.0
www.dna.fi,Finnish,fi,laitteet_modeemit_dna-valokuitu-plus-premium-modeemi-ubc1303.html.json,341,41.0,36.0,41.0,36.0
www.dna.fi,Finnish,fi,laitteet_modeemit_dna-valokuitu-plus-premium-modeemi-ubc1303_asetukset.html.json,7028,913.0,782.0,913.0,782.0
www.dna.fi,Finnish,fi,laitteet_modeemit_dna-valokuitu-plus-premium-modeemi-ubc1303_kayttoonotto.html.json,5676,857.0,672.0,857.0,672.0
www.dna.fi,Finnish,fi,laitteet_modeemit_dna-valokuitu-plus-premium-modeemi-ubc1303_tpaivitykset.html.json,1991,240.0,216.0,240.0,216.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-ethernet-wifi-6-k562.html.json,814,116.0,99.0,116.0,99.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-ethernet-wifi-6-k562_asetukset.html.json,6832,944.0,808.0,944.0,808.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-ethernet-wifi-6-k562_ominaisuudet.html.json,1308,211.0,179.0,211.0,179.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-ethernet-wifi-6-k562_paivitykset.html.json,2305,295.0,267.0,295.0,267.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-ethernet-wifi-6-k562_vianmaaritys.html.json,3300,456.0,378.0,456.0,378.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-ethernet-wifi6-plus-f5670.html.json,794,110.0,95.0,110.0,95.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-ethernet-wifi6-plus-f5670_ominaisuudet.html.json,731,131.0,107.0,131.0,107.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-ethernet-wifi6-plus-f5670_paivitykset.html.json,451,53.0,50.0,53.0,50.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-ethernet-wifi6-plus-f5670_vianmaaritys.html.json,3417,461.0,383.0,461.0,383.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-kytkin-tl-sg-108.html.json,130,14.0,14.0,14.0,14.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-kytkin-tl-sg-108_kayttoonotto.html.json,1548,206.0,173.0,206.0,173.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-kytkin-tl-sg-108_ominaisuudet.html.json,266,45.0,33.0,45.0,33.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-mesh-f-266.html.json,911,127.0,110.0,127.0,110.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-mesh-f-266_ominaisuudet.html.json,853,146.0,124.0,146.0,124.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-mesh-f-266_paivitykset.html.json,813,98.0,87.0,98.0,87.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-mesh-f-266_vianmaaritys.html.json,3420,462.0,384.0,462.0,384.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-mesh-wifi-wa8021v5.html.json,209,27.0,23.0,27.0,23.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-mesh-wifi-wa8021v5_kayttoonotto.html.json,4089,537.0,466.0,537.0,466.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-mesh-wifi-wa8021v5_ominaisuudet.html.json,575,96.0,77.0,96.0,77.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-mesh-wifi-wa8021v5_paivitykset.html.json,724,81.0,74.0,81.0,74.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-mesh-wifi-wa8021v5_vianmaaritys.html.json,4481,609.0,509.0,609.0,509.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-mesh-wifi-wa8021v5_wa8021v5_asetukset.html.json,6079,831.0,716.0,831.0,716.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-valokuitu-plus-ethernet-dg200ac.html.json,256,28.0,26.0,28.0,26.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-valokuitu-plus-ethernet-dg200ac_ominaisuudet.html.json,590,91.0,71.0,91.0,71.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-valokuitu-plus-ethernet-dg200ac_paivitykset.html.json,2677,330.0,279.0,330.0,279.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-valokuitu-plus-ethernet-ex400.html.json,175,18.0,16.0,18.0,16.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-valokuitu-plus-ethernet-ex400_kayttoonotto.html.json,3400,464.0,383.0,464.0,383.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-valokuitu-plus-ethernet-ex400_ominaisuudet.html.json,468,77.0,62.0,77.0,62.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-valokuitu-plus-ethernet-ex400_paivitykset.html.json,2901,359.0,305.0,359.0,305.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-xdsl-ed500a.html.json,201,25.0,21.0,25.0,21.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-xdsl-ed500a_ominaisuudet.html.json,574,94.0,73.0,94.0,73.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-xdsl-ed500a_paivitykset.html.json,2221,279.0,238.0,279.0,238.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_dna-xdsl-ed500a_vianselvitys.html.json,2382,338.0,281.0,338.0,281.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_google-wifi-mesh.html.json,455,58.0,50.0,58.0,50.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_google-wifi-mesh_kayttoonotto.html.json,5237,728.0,619.0,728.0,619.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_google-wifi-mesh_ominaisuudet.html.json,882,137.0,112.0,137.0,112.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ethernet_google-wifi-mesh_tuki-ja-ongelmatilanteet.html.json,1844,255.0,219.0,255.0,219.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ftth.html.json,2298,341.0,260.0,341.0,260.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ftth_dna-valokuitu-plus-modeemi-eg300ac.html.json,180,19.0,17.0,19.0,17.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ftth_dna-valokuitu-plus-modeemi-eg300ac_ominaisuudet.html.json,597,99.0,77.0,99.0,77.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ftth_dna-valokuitu-plus-modeemi-eg300ac_paivitykset.html.json,2672,329.0,278.0,329.0,278.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ftth_dna-valokuitu-plus-modeemi-eg400ac.html.json,168,19.0,17.0,19.0,17.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ftth_dna-valokuitu-plus-modeemi-eg400ac_asetukset.html.json,754,99.0,86.0,99.0,86.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ftth_dna-valokuitu-plus-modeemi-eg400ac_kayttoonotto.html.json,4954,649.0,555.0,649.0,555.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ftth_dna-valokuitu-plus-modeemi-eg400ac_ominaisuudet.html.json,373,59.0,49.0,59.0,49.0
www.dna.fi,Finnish,fi,laitteet_modeemit_ftth_dna-valokuitu-plus-modeemi-eg400ac_paivitykset.html.json,2654,325.0,274.0,325.0,274.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_cisco-epc3828.html.json,372,49.0,40.0,49.0,40.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_cisco-epc3828_asetukset.html.json,5514,750.0,635.0,750.0,635.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_cisco-epc3828_kayttoonotto.html.json,5453,823.0,644.0,823.0,644.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_cisco-epc3828_ominaisuudet.html.json,425,63.0,51.0,63.0,51.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_cisco-epc3828_paivitykset.html.json,807,98.0,87.0,98.0,87.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-kaapelimodeemi-wifi-6-f-3896.html.json,787,109.0,94.0,109.0,94.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-kaapelimodeemi-wifi-6-f-3896_kayttoonotto.html.json,4372,558.0,491.0,558.0,491.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-kaapelimodeemi-wifi-6-f-3896_ominaisuudet.html.json,804,139.0,105.0,139.0,105.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-kaapelimodeemi-wifi-6-f-3896_paivitykset.html.json,886,96.0,86.0,96.0,86.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-kaapelimodeemi-wifi-6-f-3896_vianmaaritys.html.json,2653,372.0,313.0,372.0,313.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3686ac.html.json,334,40.0,35.0,40.0,35.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3686ac_ominaisuudet.html.json,630,93.0,74.0,93.0,74.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3686ac_paivitykset.html.json,2098,257.0,226.0,257.0,226.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3686acv2.html.json,336,40.0,35.0,40.0,35.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3686acv2_kayttoonotto.html.json,5948,891.0,701.0,891.0,701.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3686acv2_ominaisuudet.html.json,634,93.0,74.0,93.0,74.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3686acv2_paivitykset.html.json,2226,271.0,239.0,271.0,239.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3890v3.html.json,174,20.0,18.0,20.0,18.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3890v3_kayttoonotto.html.json,6111,878.0,724.0,878.0,724.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3890v3_ominaisuudet.html.json,908,130.0,102.0,130.0,102.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3890v3_paivitykset.html.json,1591,154.0,141.0,154.0,141.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_dna-valokuitu-plus-f-3890v3_vianmaaritys.html.json,2244,314.0,268.0,314.0,268.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_sagemcom-f-3284dc.html.json,300,40.0,33.0,40.0,33.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_sagemcom-f-3284dc_kayttoonotto.html.json,4817,745.0,573.0,745.0,573.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_sagemcom-f-3284dc_ominaisuudet.html.json,364,54.0,46.0,54.0,46.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_sagemcom-f-3284dc_paivitykset.html.json,1436,183.0,161.0,183.0,161.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_technicolor-tc7200.html.json,377,49.0,40.0,49.0,40.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_technicolor-tc7200_kayttoonotto.html.json,5187,795.0,617.0,795.0,617.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_technicolor-tc7200_ominaisuudet.html.json,495,73.0,56.0,73.0,56.0
www.dna.fi,Finnish,fi,laitteet_modeemit_kaapeli_technicolor-tc7200_paivitykset.html.json,814,99.0,88.0,99.0,88.0
www.dna.fi,Finnish,fi,laitteet_modeemit_mesh-wifi.html.json,2394,339.0,293.0,339.0,293.0
www.dna.fi,Finnish,fi,laitteet_modeemit_omamodeemi.html.json,7053,956.0,833.0,956.0,833.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl.html.json,3630,481.0,406.0,481.0,406.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl_dna-dsl-modeemi-dg200ac.html.json,253,36.0,28.0,36.0,28.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl_dna-dsl-modeemi-dg200ac_ominaisuudet.html.json,585,91.0,71.0,91.0,71.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl_dna-dsl-modeemi-dg200ac_paivitykset.html.json,2044,252.0,210.0,252.0,210.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl_dna-xdsl-modeemi-dg301ac.html.json,225,30.0,24.0,30.0,24.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl_dna-xdsl-modeemi-dg301ac_ominaisuudet.html.json,633,100.0,80.0,100.0,80.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl_dna-xdsl-modeemi-dg301ac_paivitykset.html.json,2664,330.0,278.0,330.0,278.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl_dna-xdsl-modeemi-ed500a.html.json,659,87.0,76.0,87.0,76.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl_dna-xdsl-modeemi-ed500a_ominaisuudet.html.json,574,94.0,73.0,94.0,73.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl_dna-xdsl-modeemi-ed500a_paivitykset.html.json,2221,279.0,238.0,279.0,238.0
www.dna.fi,Finnish,fi,laitteet_modeemit_xdsl_dna-xdsl-modeemi-ed500a_vianselvitys.html.json,2382,338.0,281.0,338.0,281.0
www.dna.fi,Finnish,fi,laitteet_mokkulat.html.json,1108,149.0,125.0,149.0,125.0
www.dna.fi,Finnish,fi,laitteet_mokkulat_kotimokkulat_dna-kotimokkula-4g-wifi-b818.html.json,206,28.0,24.0,28.0,24.0
www.dna.fi,Finnish,fi,laitteet_mokkulat_kotimokkulat_dna-kotimokkula-4g-wifi-b818_kayttoonotto.html.json,6490,944.0,785.0,944.0,785.0
www.dna.fi,Finnish,fi,laitteet_mokkulat_kotimokkulat_dna-kotimokkula-4g-wifi-b818_kayttoonotto_paivitykset.html.json,1113,130.0,109.0,130.0,109.0
