domain,language,file,cat_orig_en,score_orig_en,cat_orig,score_orig,cat_trans,score_trans
www.dna.fi,Finnish,-WiFi.html.json,"Routers, modems & network hardware",0.7878474,"Routers, modems & network hardware",0.8308477997779846,"Routers, modems & network hardware",0.83400387
www.dna.fi,Finnish,-alykellot_apple-watch.html.json,SIM & eSIM,0.78213775,SIM & eSIM,0.8122578859329224,SIM & eSIM,0.80486465
www.dna.fi,Finnish,-alykellot_samsung-galaxy-watch.html.json,SIM & eSIM,0.7701467,Mobile devices,0.8072376251220703,SIM & eSIM,0.8194777
www.dna.fi,Finnish,-modeemit.html.json,"Routers, modems & network hardware",0.7921848,"Routers, modems & network hardware",0.8591227531433105,"Routers, modems & network hardware",0.81371176
www.dna.fi,Finnish,-mokkulat.html.json,"Routers, modems & network hardware",0.7921945,"Routers, modems & network hardware",0.8228332996368408,"Routers, modems & network hardware",0.8185612
www.dna.fi,Finnish,-nettiostaminen_tilaaminen.html.json,SIM & eSIM,0.7610705,Other,0.8069651126861572,Billing & payment,0.79765546
www.dna.fi,Finnish,-puhelinliittymat_esim.html.json,SIM & eSIM,0.822761,SIM & eSIM,0.8695515394210815,SIM & eSIM,0.8565532
www.dna.fi,Finnish,asiakkuus.html.json,Account & login,0.78803194,SIM & eSIM,0.8214700222015381,Mobile subscriptions & services,0.81352
www.dna.fi,Finnish,asiakkuus_kirjautuminen.html.json,Account & login,0.77399796,Account & login,0.8215874433517456,Account & login,0.8124185
www.dna.fi,Finnish,asiakkuus_laskutus.html.json,Billing & payment,0.77902436,Billing & payment,0.821877658367157,Billing & payment,0.840404
www.dna.fi,Finnish,asiakkuus_laskutus_e-lasku.html.json,SIM & eSIM,0.75839394,Billing & payment,0.8040608167648315,Billing & payment,0.845693
www.dna.fi,Finnish,asiakkuus_nettiostaminen.html.json,Billing & payment,0.7733888,Other,0.8071058988571167,"Routers, modems & network hardware",0.81289554
www.dna.fi,Finnish,asiakkuus_nettiostaminen_click-collect.html.json,Billing & payment,0.75774866,Billing & payment,0.8000496625900269,Billing & payment,0.7982427
www.dna.fi,Finnish,asiakkuus_nettiostaminen_maksutavat.html.json,Billing & payment,0.76974416,Billing & payment,0.80380779504776,Billing & payment,0.8131784
www.dna.fi,Finnish,asiakkuus_nettiostaminen_palautus-ja-takuu.html.json,Mobile devices,0.7776332,Mobile devices,0.8330379128456116,Mobile devices,0.8218068
www.dna.fi,Finnish,asiakkuus_nettiostaminen_tilaaminen.html.json,SIM & eSIM,0.7610705,Other,0.8069651126861572,Billing & payment,0.79765534
www.dna.fi,Finnish,asiakkuus_nettiostaminen_toimitus.html.json,TV & streaming,0.770028,TV & streaming,0.8073595762252808,TV & streaming,0.7978297
www.dna.fi,Finnish,asiakkuus_oma-dna-sovellus.html.json,Account & login,0.7892449,Account & login,0.8193378448486328,Account & login,0.81682634
